kbjd,flux,ferr
735.383679512, 147203.71875, 10.5706634521
735.404112548, 147133.71875, 10.5646972656
735.424545584, 147125.1875, 10.5745582581
735.44497862, 147086.328125, 10.5763292313
735.465411657, 147122.46875, 10.5842151642
735.485844694, 147082.09375, 10.5800895691
735.506277732, 147155.296875, 10.589673996
735.526710769, 147116.390625, 10.5932149887
735.547143807, 147133.359375, 10.5968198776
735.567576945, 147102.859375, 10.5943727493
735.588009884, 147096.796875, 10.5983724594
735.608443023, 147117.96875, 10.6044216156
735.628876062, 147063.71875, 10.6015911102
735.649309001, 147086.671875, 10.6049127579
735.669742141, 147107.703125, 10.6066350937
735.690175181, 147085.0625, 10.6047744751
735.710608121, 147119.296875, 10.6109266281
735.731041261, 147101.5, 10.6128311157
735.751474302, 147090.015625, 10.6128807068
735.771907243, 147122.703125, 10.6170969009
735.792340385, 147067.359375, 10.6164474487
735.812773427, 147106.109375, 10.6185693741
735.833206469, 147086.953125, 10.617685318
735.853639511, 147104.1875, 10.6194391251
735.874072454, 147075.875, 10.6179971695
735.894505596, 147083.109375, 10.6219396591
735.91493864, 147080.140625, 10.6252298355
735.935371683, 147073.546875, 10.6248273849
735.955804727, 147121.46875, 10.6279459
735.976237771, 147042.609375, 10.6267824173
735.996670815, 147093.875, 10.6276187897
736.01710396, 147103.359375, 10.6289844513
736.037536905, 147110.484375, 10.6273927689
736.05797005, 147117.703125, 10.6304655075
736.078403096, 147092.890625, 10.6306180954
736.098836041, 147092.09375, 10.6309490204
736.119269187, 147079.5, 10.6339073181
736.139702234, 147093.703125, 10.6341104507
736.16013518, 147130.453125, 10.6351623535
736.180568327, 147124.078125, 10.6317043304
736.201001375, 147112.359375, 10.634098053
736.221434322, 147108.609375, 10.6355772018
736.24186747, 147103.46875, 10.6353244781
736.262300518, 147112.046875, 10.6358776093
736.282733667, 147068.78125, 10.6373329163
736.303166616, 147070.296875, 10.6380434036
736.323599665, 147075.796875, 10.6392059326
736.344032814, 147129.109375, 10.6400871277
736.364465763, 147063.515625, 10.6381387711
736.384898813, 147070.578125, 10.6410980225
736.405331964, 147061.9375, 10.6415395737
736.425764914, 147063.140625, 10.6376810074
736.446197965, 147083.984375, 10.6405754089
736.466631016, 147083.8125, 10.6411352158
736.487064067, 147120.234375, 10.6409349442
736.507497219, 147090.34375, 10.6390399933
736.527930171, 147065.734375, 10.6434879303
736.548363223, 147106.046875, 10.6435241699
736.568796376, 147101.9375, 10.6437492371
736.589229429, 147066.359375, 10.6437778473
736.609662382, 147075.3125, 10.6397542953
736.630095535, 147062.71875, 10.6439628601
736.650528589, 147111.5625, 10.6419563293
736.670961543, 147135.203125, 10.6418399811
736.691394697, 147109.375, 10.6447753906
736.711827752, 147137.65625, 10.6435594559
736.732260907, 147104.453125, 10.6439170837
736.752693862, 147090.984375, 10.6421728134
736.773126918, 147185.71875, 10.6429719925
736.793560073, 147124.171875, 10.6460456848
736.813993029, 147132.046875, 10.6448640823
736.834426086, 147080.71875, 10.6441574097
736.854859243, 147093.0625, 10.6451129913
736.8752922, 147094.953125, 10.6444244385
736.895725357, 147097.046875, 10.6449317932
736.916158414, 147104.109375, 10.6475858688
736.936591372, 147155.21875, 10.6459283829
736.957024531, 147155.984375, 10.6448116302
736.977457589, 147143.734375, 10.6459903717
736.997890648, 147143.03125, 10.6464271545
737.018323707, 147170.6875, 10.6475019455
737.038756766, 147167.359375, 10.6459579468
737.059189826, 147122.859375, 10.6477813721
737.079622886, 147123.078125, 10.6444797516
737.100055946, 147172.75, 10.6460285187
737.120489006, 147144.8125, 10.6446743011
737.140922067, 147099.5625, 10.6467733383
737.161355128, 147118.640625, 10.6490707397
