kbjd,flux,ferr
539.470523166, 150347.609375, 10.422296524
539.490957412, 150325.984375, 10.4223012924
539.511391758, 150320.109375, 10.4223060608
539.531825904, 150345.734375, 10.4223108292
539.552260149, 150315.921875, 10.4223165512
539.572694494, 150327.3125, 10.4223213196
539.593128639, 150289.140625, 10.422326088
539.613562884, 150324.265625, 10.4223308563
539.633997229, 150307.984375, 10.4223356247
539.654431373, 150383.203125, 10.4223423004
539.674865617, 150374.46875, 10.4223470688
539.695299961, 150404.671875, 10.4223518372
539.715734205, 150416.96875, 10.4223566055
539.736168348, 150387.6875, 10.4223613739
539.756602691, 150401.78125, 10.4223661423
539.777036934, 150417.734375, 10.4223709106
539.797471077, 150381.59375, 10.422375679
539.81790542, 150397.921875, 10.4223814011
539.838339562, 150370.25, 10.4223861694
539.858773904, 150353.234375, 10.4223909378
539.879208146, 150362.109375, 10.4223957062
539.899642288, 150342.6875, 10.4224004745
539.920076629, 150368.40625, 10.4224052429
539.940510871, 150363.828125, 10.4224100113
539.960945012, 150333.3125, 10.4223976135
539.981379353, 150389.046875, 10.4223842621
540.001813593, 150343.984375, 10.4223709106
540.022247734, 150338.65625, 10.4223566055
540.042682074, 150317.15625, 10.4223432541
540.063116314, 150389.0, 10.4223299026
540.083550553, 150368.71875, 10.4223165512
540.103984793, 150396.046875, 10.4223022461
540.124419032, 150396.140625, 10.4222888947
540.144853371, 150372.59375, 10.4222745895
540.16528751, 150405.75, 10.4222612381
540.185721749, 150355.359375, 10.4222478867
540.206156087, 150384.5625, 10.4222345352
540.226590325, 150363.109375, 10.4222202301
540.247024463, 150290.140625, 10.4222068787
540.267458801, 150330.765625, 10.4221944809
540.287893039, 150384.28125, 10.4221811295
540.308327176, 150353.890625, 10.422167778
540.328761513, 150384.78125, 10.4221534729
540.34919575, 150365.6875, 10.4221401215
540.369629887, 150336.78125, 10.42212677
540.390064223, 150359.515625, 10.4221124649
540.410498459, 150310.375, 10.4220991135
540.430932595, 150364.09375, 10.422085762
540.451366931, 150336.875, 10.422044754
540.471801066, 150372.90625, 10.4220046997
540.492235402, 150366.671875, 10.4219636917
540.512669637, 150385.328125, 10.4219226837
540.533103772, 150402.8125, 10.421880722
540.553538106, 150341.71875, 10.4218406677
540.573972341, 150418.078125, 10.4217987061
540.594406575, 150379.390625, 10.4217576981
540.614840809, 150403.375, 10.4217185974
540.635275043, 150398.0, 10.4216766357
540.655709276, 150369.203125, 10.4216356277
540.67614351, 150394.0625, 10.4215946198
540.696577743, 150390.3125, 10.4215536118
540.717011976, 150339.828125, 10.4215126038
540.737446308, 150321.296875, 10.4214715958
540.757880441, 150351.9375, 10.4214305878
540.778314773, 150417.828125, 10.4213905334
540.798749005, 150381.109375, 10.4213495255
540.819183137, 150385.6875, 10.4213085175
540.839617468, 150368.75, 10.4212675095
540.8600517, 150360.515625, 10.4212265015
540.880485831, 150343.5, 10.4211854935
540.900920162, 150285.5, 10.4211454391
540.921354392, 150329.90625, 10.4211044312
540.941788523, 150342.609375, 10.4212341309
540.962222853, 150343.890625, 10.4213638306
540.982657083, 150314.828125, 10.4214935303
541.003091213, 150327.671875, 10.42162323
541.023525542, 150313.640625, 10.4217529297
541.043959771, 150358.453125, 10.4218826294
541.0643941, 150312.75, 10.4220123291
541.084828229, 150355.765625, 10.4221420288
541.125696686, 150398.265625, 10.4224023819
541.146130915, 150396.796875, 10.4225320816
541.166565142, 150393.515625, 10.4226617813
541.18699937, 150397.421875, 10.422791481
541.207433598, 150407.3125, 10.4229211807
541.227867825, 150432.15625, 10.4230508804
541.248302052, 150351.21875, 10.4231805801
541.268736279, 150390.3125, 10.4233102798
541.289170506, 150359.96875, 10.4234399796
541.309604832, 150371.625, 10.4235696793
