kbjd, flux, ferr
735.363246476, 0.999715920477, 7.08840759916e-05
735.383679512, 1.00026926224, 7.0887565863e-05
735.404112548, 1.00007692686, 7.08909634538e-05
735.424545584, 1.00014617966, 7.0894269204e-05
735.44497862, 0.999893579763, 7.08974901914e-05
735.465411657, 1.00007790969, 7.09006135842e-05
735.485844694, 0.999749944699, 7.09036464618e-05
735.506277732, 1.00020580884, 7.09065892677e-05
735.526710769, 0.999951838458, 7.09094424463e-05
735.547143807, 1.00008990232, 7.0912213082e-05
735.567576945, 0.999915505554, 7.09148883635e-05
735.588009884, 0.999896491728, 7.09174753161e-05
735.608443023, 1.00004932317, 7.09199744672e-05
735.628876062, 0.99969545547, 7.09223862065e-05
735.649309001, 0.999853878164, 7.09247176256e-05
735.669742141, 1.00000021435, 7.09269559487e-05
735.690175181, 0.999856877871, 7.09291082122e-05
735.710608121, 1.0000912333, 7.09311748693e-05
735.731041261, 0.999979101838, 7.09331630662e-05
735.751474302, 0.999908642583, 7.09350599207e-05
735.771907243, 1.0001331321, 7.09368725303e-05
735.792340385, 0.999774481473, 7.09386013974e-05
735.812773427, 1.00004321191, 7.09402469301e-05
735.833206469, 0.999927747585, 7.09418096005e-05
735.853639511, 1.00005287913, 7.09433031537e-05
735.874072454, 0.999872381498, 7.09463758237e-05
735.894505596, 0.99992477873, 7.09493671645e-05
735.91493864, 0.999906686915, 7.09522842326e-05
735.935371683, 0.999864049226, 7.09551142066e-05
735.955804727, 1.00018555985, 7.09578708311e-05
735.976237771, 0.999666391214, 7.09605412711e-05
735.996670815, 1.00001551107, 7.09631326278e-05
736.01710396, 1.00008849321, 7.09656520152e-05
736.037536905, 1.0001461111, 7.09680865654e-05
736.05797005, 1.00020405119, 7.09704434262e-05
736.078403096, 1.00004789981, 7.09727296704e-05
736.098836041, 1.00005041294, 7.09749324657e-05
736.119269187, 0.999972785023, 7.09770722412e-05
736.139702234, 1.00007105565, 7.09791228409e-05
736.16013518, 1.00031616619, 7.0981104668e-05
736.180568327, 1.00027106994, 7.09830049154e-05
736.201001375, 1.0001879985, 7.09848306669e-05
736.221434322, 1.00015779292, 7.09865890342e-05
736.24186747, 1.00012023146, 7.09882672076e-05
736.262300518, 1.00017737947, 7.09898789244e-05
736.282733667, 0.99989377336, 7.0991411367e-05
736.303166616, 0.999910427023, 7.09928716292e-05
736.323599665, 0.999953956107, 7.0994266844e-05
736.344032814, 1.00031357485, 7.09955841796e-05
736.364465763, 0.999877994046, 7.09965315482e-05
736.384898813, 0.999921364921, 7.09974086113e-05
736.405331964, 0.99985656249, 7.09982091873e-05
736.425764914, 0.999854616848, 7.09989470297e-05
736.446197965, 0.999982314841, 7.0999615972e-05
736.466631016, 0.999970810338, 7.10002098306e-05
736.487064067, 1.0002043303, 7.10007423735e-05
736.507497219, 0.999998533209, 7.1001200776e-05
736.527930171, 0.999829590927, 7.10015987994e-05
736.548363223, 1.0000930739, 7.10019302737e-05
736.568796376, 1.00005963661, 7.10021890208e-05
736.589229429, 0.999814691162, 7.10023888074e-05
736.609662382, 0.999863187221, 7.1002523458e-05
736.630095535, 0.999766424821, 7.10025867993e-05
736.650528589, 1.00007783614, 7.10025925999e-05
736.670961543, 1.00022166906, 7.10025280361e-05
736.691394697, 1.00003767546, 7.10024068805e-05
736.711827752, 1.00021481276, 7.10022096594e-05
736.732260907, 0.999983193443, 7.10019700932e-05
736.752693862, 0.999882197143, 7.10016620622e-05
736.773126918, 1.0004994585, 7.10012860392e-05
736.793560073, 1.00007427491, 7.10008491481e-05
736.813993029, 1.00010873479, 7.10003518702e-05
736.834426086, 0.999747662647, 7.09998079746e-05
736.854859243, 0.999809529636, 7.09999293891e-05
736.8752922, 0.999802914978, 7.09999918361e-05
736.895725357, 0.999798962595, 7.10000024287e-05
736.916158414, 0.999830142094, 7.09999483531e-05
736.936591372, 1.00015583254, 7.09998433838e-05
736.957024531, 1.00014650404, 7.09996680388e-05
736.977457589, 1.00004934174, 7.09994427523e-05
736.997890648, 1.00002622677, 7.09991679966e-05
737.018323707, 1.00018816196, 7.09988309512e-05
737.038756766, 1.00014006522, 7.09984387417e-05
737.059189826, 0.999814853902, 7.09979918453e-05
737.079622886, 0.999784945454, 7.09974973874e-05
737.100055946, 1.00008355395, 7.09969425493e-05
737.120489006, 0.999867418738, 7.09963575261e-05
737.140922067, 0.999541055378, 7.09958116026e-05
737.161355128, 0.999650230555, 7.09954037726e-05
737.18178819, 0.99983940264, 7.09952529661e-05
737.202221252, 0.999734860728, 7.09954382253e-05
737.222654314, 0.999788367552, 7.0996071838e-05
737.243087476, 0.999783465969, 7.09972314495e-05
737.263520439, 0.999660418819, 7.09989557032e-05
737.283953501, 0.999873896559, 7.10011041483e-05
737.304386665, 0.0, 0.0
737.324819628, 0.999518558033, 7.10061724361e-05
737.345252792, 0.999962509238, 7.10080903634e-05
737.365685856, 0.999767644958, 7.10099178308e-05
737.386118821, 0.999608550279, 7.10115178397e-05
737.406551985, 0.999692051768, 7.10128769598e-05
737.42698505, 0.999858091898, 7.10140243328e-05
737.447418016, 0.999498432965, 7.10149901778e-05
737.467851181, 0.999733605796, 7.10158246805e-05
737.488284247, 0.99966024935, 7.10165580555e-05
737.508717213, 1.00006011312, 7.10172205371e-05
737.52915038, 0.999960326792, 7.1017849675e-05
737.549583446, 1.00026239707, 7.10184590127e-05
737.570016614, 0.999909228499, 7.1019042816e-05
737.590449581, 0.999793323501, 7.10196019836e-05
737.610882649, 0.999984647489, 7.10201241346e-05
737.631315816, 1.00002987754, 7.10206367763e-05
737.651748785, 1.00008983506, 7.10211275095e-05
737.672181853, 1.00016562283, 7.10215972519e-05
737.692615022, 0.999940199861, 7.10220402623e-05
737.713048091, 1.00001118541, 7.10224707445e-05
737.733481061, 0.999976119482, 7.1022876308e-05
737.753914231, 0.999955299766, 7.10232711697e-05
737.774347201, 0.999903304437, 7.10236429289e-05
737.794780371, 1.00003991233, 7.10240058049e-05
737.815213442, 1.00007313287, 7.10243540502e-05
737.835646413, 0.999833546495, 7.10242297042e-05
737.856079584, 0.999817905801, 7.1024099198e-05
737.876512655, 0.999850475454, 7.10239567851e-05
737.896945627, 1.00017860907, 7.10237967252e-05
737.917378799, 0.999876919108, 7.10236332349e-05
737.937811872, 0.999993944815, 7.10234539175e-05
737.958245045, 1.00032093436, 7.10232729877e-05
737.978678018, 1.00044308286, 7.10230846997e-05
737.999111091, 1.00034329279, 7.10228833183e-05
738.019544265, 1.0001515674, 7.10226830547e-05
738.039977239, 1.00019077924, 7.10224715126e-05
738.060410313, 1.00012696747, 7.10222629085e-05
738.080843487, 0.999771197546, 7.10220515018e-05
738.101276462, 0.999456368698, 7.10218381977e-05
738.121709537, 0.99959198998, 7.10216239111e-05
738.142142713, 0.999837341207, 7.10214095523e-05
738.162575688, 0.99998877663, 7.10211827246e-05
738.183008864, 0.999913584894, 7.10209709482e-05
738.203441941, 0.999919175458, 7.10207618266e-05
738.223875017, 0.99973869731, 7.10205562716e-05
738.244308094, 0.999892816843, 7.10203485424e-05
738.264741172, 0.999995253002, 7.10201528509e-05
738.285174249, 1.00017612876, 7.10199634566e-05
738.305607327, 1.00009045504, 7.10197745903e-05
738.326040405, 0.999921849108, 7.10198126781e-05
738.346473484, 1.0001034708, 7.10198646091e-05
738.366906662, 1.00007563655, 7.10199167826e-05
738.387339641, 0.999849126966, 7.10199821949e-05
738.407772821, 1.00001326692, 7.10200539023e-05
738.4282058, 1.00030237817, 7.10201249452e-05
738.44863888, 1.00007263185, 7.10202083318e-05
738.469072061, 1.0000647251, 7.10202904593e-05
738.489505041, 0.999771697691, 7.10203776723e-05
738.509938122, 1.00018817715, 7.10204696767e-05
738.530371303, 1.00010004742, 7.10205728237e-05
738.550804285, 0.999921305179, 7.10206801551e-05
738.571237366, 0.999983569012, 7.10207847253e-05
738.591670548, 1.00003771065, 7.10208995371e-05
738.612103531, 1.00019793751, 7.10210109805e-05
738.632536713, 0.999981786375, 7.10211320669e-05
738.652969796, 0.999988647856, 7.10212558378e-05
738.67340278, 1.00015814548, 7.1021375341e-05
738.693835963, 1.00011733632, 7.10215035862e-05
738.714269047, 1.00032656178, 7.10216269626e-05
738.734702131, 0.999742508702, 7.10217518239e-05
738.755135216, 0.999996238176, 7.10218778695e-05
738.775568301, 0.999772949591, 7.10220114511e-05
738.796001386, 0.999807420975, 7.10221456162e-05
738.816434471, 0.999839499036, 7.10229452737e-05
738.836867557, 1.00000443438, 7.10237449224e-05
738.857300743, 0.999967955125, 7.10245509164e-05
738.877733829, 0.999795882989, 7.10253429939e-05
738.898166815, 1.00012297334, 7.10261408109e-05
738.918600002, 1.00020808974, 7.10269440738e-05
738.93903309, 0.999867680257, 7.10277391706e-05
738.959466077, 0.999763319289, 7.1028532453e-05
738.979899265, 0.999849229982, 7.1029323627e-05
739.000332353, 1.00024912022, 7.10301123853e-05
739.020765341, 0.999826718909, 7.10308984271e-05
739.04119853, 1.00009050657, 7.1031688111e-05
739.061631519, 1.00016296205, 7.10324611697e-05
739.082064708, 1.00019514752, 7.10332372689e-05
739.102497798, 1.00007075733, 7.10340161015e-05
739.122930788, 1.00046154149, 7.10347840613e-05
739.143363978, 1.00017679952, 7.10355541594e-05
739.163797069, 0.99997057489, 7.10363061302e-05
739.184230059, 0.999964509229, 7.10370596312e-05
739.204663251, 0.999681722583, 7.10378143679e-05
739.225096342, 0.999814802182, 7.10385567276e-05
739.245529534, 0.999885449157, 7.10392864131e-05
739.265962526, 0.999941401363, 7.10400164236e-05
739.286395618, 1.00010081413, 7.10407464642e-05
739.306828811, 1.00013826454, 7.10416824793e-05
739.327261804, 0.99996436248, 7.10426179193e-05
739.347694897, 1.00047555917, 7.10435458356e-05
739.36812809, 0.99986051247, 7.10444659272e-05
739.388561084, 0.99995017965, 7.10453712344e-05
739.408994178, 0.999884612281, 7.10462681145e-05
739.429427373, 0.999972403642, 7.10471629196e-05
739.449860468, 0.999887073146, 7.10480486921e-05
739.470293563, 1.00005701692, 7.10489184791e-05
739.490726658, 0.999985263, 7.10497919395e-05
739.511159754, 0.999941492933, 7.10506421587e-05
739.53159285, 0.999928319085, 7.10514821423e-05
739.552025946, 0.999995446214, 7.1052311589e-05
739.572459043, 1.00004868591, 7.10531368511e-05
739.59289214, 1.00005336828, 7.1053950974e-05
739.613325237, 1.00016799098, 7.10547536565e-05
739.633758334, 0.999923037716, 7.10555379438e-05
739.654191432, 0.999945755784, 7.10563101882e-05
739.67462453, 1.00022327998, 7.10570833957e-05
739.695057729, 1.00003667008, 7.10578306515e-05
739.715490727, 1.00016950266, 7.10585649589e-05
739.735923826, 1.00002122254, 7.10592993267e-05
739.756357026, 0.999967483648, 7.10600068388e-05
739.776790025, 1.0005473546, 7.10607004992e-05
739.797223125, 1.00027519472, 7.10604351871e-05
739.817656326, 1.00021366345, 7.10601487661e-05
739.838089326, 0.999886474934, 7.10598542413e-05
739.858522527, 1.00018557857, 7.10595446603e-05
739.878955628, 1.00002148276, 7.10592197212e-05
739.89938863, 1.00016251572, 7.10588857775e-05
739.919821831, 1.00003100608, 7.10585292217e-05
739.940254934, 1.00005788363, 7.10581497527e-05
739.960688036, 0.999657191239, 7.10577537239e-05
739.981121139, 0.999730910808, 7.10573474887e-05
740.001554242, 0.999942401174, 7.10569174391e-05
740.021987345, 1.00002882413, 7.10564832358e-05
740.042420449, 0.999735518289, 7.10560179638e-05
740.062853552, 0.999538872507, 7.10555412837e-05
740.083286757, 0.999632273151, 7.1055046241e-05
740.103719861, 0.999882281791, 7.10545391902e-05
740.124152866, 0.999623147255, 7.10539998702e-05
740.144586071, 0.999913933075, 7.10534479398e-05
740.165019177, 1.00008474584, 7.10528764473e-05
740.185452182, 1.00004935299, 7.1052285093e-05
740.205885388, 0.999977266339, 7.10516669201e-05
740.226318495, 0.99999962359, 7.10510349389e-05
740.246751501, 1.00015130327, 7.10503821962e-05
740.267184708, 1.0000617704, 7.1049708388e-05
740.287617716, 0.0, 0.0
740.308050923, 0.999832963841, 7.1049227871e-05
740.328484031, 0.99951915775, 7.10489614659e-05
740.34891704, 1.00015178615, 7.10486661423e-05
740.369350248, 1.00018778384, 7.1048337331e-05
740.389783357, 1.00027517081, 7.1047873582e-05
740.410216366, 1.00025570548, 7.10471758392e-05
740.430649575, 0.999934201585, 7.10461516954e-05
740.451082685, 1.00009083446, 7.10447376229e-05
740.471515895, 1.00017138911, 7.10431849934e-05
740.491948906, 0.0, 0.0
740.512382016, 1.00045072717, 7.10408978532e-05
740.532815227, 1.00002401189, 7.10406849152e-05
740.553248239, 1.0001866982, 7.104105577e-05
740.57368135, 1.00016650328, 7.10417992401e-05
740.594114562, 0.999900375418, 7.1042710805e-05
740.614547674, 1.00001930671, 7.10436135216e-05
740.634980687, 0.999978708721, 7.10444807803e-05
740.6554139, 0.999986239654, 7.10453202396e-05
740.675847013, 0.999942721839, 7.10461195767e-05
740.696280126, 1.00021518581, 7.10468864426e-05
740.71671324, 1.00026756565, 7.10476351384e-05
740.737146354, 1.00027798565, 7.10483333932e-05
740.757579568, 0.999930228436, 7.10490221241e-05
740.778012583, 1.0001799744, 7.10494095713e-05
740.798445698, 1.00022963252, 7.10497628678e-05
740.818878913, 1.00005304976, 7.10500963158e-05
740.839311929, 0.999659174157, 7.10504109037e-05
740.859745045, 1.00010858712, 7.10506943279e-05
740.880178261, 0.999784779527, 7.10509542377e-05
740.900611277, 0.999889724887, 7.10511916226e-05
740.921044494, 0.999872273681, 7.10514141409e-05
740.941477511, 0.999896394645, 7.10516028199e-05
740.961910629, 0.999789205635, 7.10517786227e-05
740.982343847, 0.99943352766, 7.10519358918e-05
741.002776865, 0.999788707458, 7.10520822725e-05
741.023209983, 1.00010408488, 7.10522054586e-05
741.043643202, 1.00016785436, 7.10523131003e-05
741.064076221, 1.00020525547, 7.1052399536e-05
741.08450944, 0.999998049476, 7.10524790756e-05
741.10494256, 0.999956481029, 7.10525527119e-05
741.125375679, 1.00004764254, 7.10526081349e-05
741.1458088, 0.999934137567, 7.10526529955e-05
741.16624192, 1.00030410413, 7.10526949443e-05
741.186675041, 0.999780105449, 7.10527150162e-05
741.207108162, 1.00000626813, 7.10527341698e-05
741.227541284, 0.999879767717, 7.10527465807e-05
741.247974405, 0.999798309196, 7.10527524784e-05
741.268407628, 0.999779555585, 7.10536169873e-05
741.28884065, 0.999998268523, 7.105448183e-05
741.309273873, 1.0000376648, 7.10553337966e-05
741.329706996, 1.00009986936, 7.10561796335e-05
741.350140019, 1.00035779139, 7.10570194358e-05
741.370573243, 1.00020015, 7.10578533008e-05
741.391006367, 1.00042650916, 7.1058681321e-05
741.411439391, 1.00020623437, 7.10595035915e-05
741.431872615, 0.999703511713, 7.10603202093e-05
741.45230574, 0.999800222833, 7.10611312673e-05
741.472738765, 1.00001460174, 7.10619368607e-05
